,DATE,ETOTALUSQ176N
0,2002-01-01,119483.0
1,2002-02-01,119483.0
2,2002-03-01,119483.0
3,2002-04-01,119483.0
4,2002-05-01,119625.0
5,2002-06-01,119767.0
6,2002-07-01,119909.0
7,2002-08-01,120056.0
8,2002-09-01,120203.0
9,2002-10-01,120350.0
10,2002-11-01,120497.33333333333
11,2002-12-01,120644.66666666667
12,2003-01-01,120792.0
13,2003-02-01,120939.0
14,2003-03-01,121086.0
15,2003-04-01,121233.0
16,2003-05-01,121382.66666666667
17,2003-06-01,121532.33333333333
18,2003-07-01,121682.0
19,2003-08-01,121841.0
20,2003-09-01,122000.0
21,2003-10-01,122159.0
22,2003-11-01,122316.66666666667
23,2003-12-01,122474.33333333333
24,2004-01-01,122632.0
25,2004-02-01,122787.66666666667
26,2004-03-01,122943.33333333333
27,2004-04-01,123099.0
28,2004-05-01,123261.66666666667
29,2004-06-01,123424.33333333333
30,2004-07-01,123587.0
31,2004-08-01,123756.66666666667
32,2004-09-01,123926.33333333333
33,2004-10-01,124096.0
34,2004-11-01,124267.66666666667
35,2004-12-01,124439.33333333333
36,2005-01-01,124611.0
37,2005-02-01,124780.0
38,2005-03-01,124949.0
39,2005-04-01,125118.0
40,2005-05-01,125285.0
41,2005-06-01,125452.0
42,2005-07-01,125619.0
43,2005-08-01,125780.66666666667
44,2005-09-01,125942.33333333333
45,2005-10-01,126104.0
46,2005-11-01,126264.0
47,2005-12-01,126424.0
48,2006-01-01,126584.0
49,2006-02-01,126746.66666666667
50,2006-03-01,126909.33333333333
51,2006-04-01,127072.0
52,2006-05-01,127230.66666666667
53,2006-06-01,127389.33333333333
54,2006-07-01,127548.0
55,2006-08-01,127695.66666666667
56,2006-09-01,127843.33333333333
57,2006-10-01,127991.0
58,2006-11-01,128140.33333333333
59,2006-12-01,128289.66666666667
60,2007-01-01,128439.0
61,2007-02-01,128588.66666666667
62,2007-03-01,128738.33333333333
63,2007-04-01,128888.0
64,2007-05-01,129025.33333333333
65,2007-06-01,129162.66666666667
66,2007-07-01,129300.0
67,2007-08-01,129411.33333333333
68,2007-09-01,129522.66666666667
69,2007-10-01,129634.0
70,2007-11-01,129745.33333333333
71,2007-12-01,129856.66666666667
72,2008-01-01,129968.0
73,2008-02-01,130079.66666666667
74,2008-03-01,130191.33333333333
75,2008-04-01,130303.0
76,2008-05-01,130398.66666666667
77,2008-06-01,130494.33333333333
78,2008-07-01,130590.0
79,2008-08-01,130659.0
80,2008-09-01,130728.0
81,2008-10-01,130797.0
82,2008-11-01,130865.0
83,2008-12-01,130933.0
84,2009-01-01,131001.0
85,2009-02-01,131069.66666666667
86,2009-03-01,131138.33333333334
87,2009-04-01,131207.0
88,2009-05-01,131263.0
89,2009-06-01,131319.0
90,2009-07-01,131375.0
91,2009-08-01,131413.33333333334
92,2009-09-01,131451.66666666666
93,2009-10-01,131490.0
94,2009-11-01,131535.33333333334
95,2009-12-01,131580.66666666666
96,2010-01-01,131626.0
97,2010-02-01,131667.0
98,2010-03-01,131708.0
99,2010-04-01,131749.0
100,2010-05-01,131790.66666666666
101,2010-06-01,131832.33333333334
102,2010-07-01,131874.0
103,2010-08-01,131914.33333333334
104,2010-09-01,131954.66666666666
105,2010-10-01,131995.0
106,2010-11-01,132035.66666666666
107,2010-12-01,132076.33333333334
108,2011-01-01,132117.0
109,2011-02-01,132157.66666666666
110,2011-03-01,132198.33333333334
111,2011-04-01,132239.0
112,2011-05-01,132280.0
113,2011-06-01,132321.0
114,2011-07-01,132362.0
115,2011-08-01,132405.0
116,2011-09-01,132448.0
117,2011-10-01,132491.0
118,2011-11-01,132533.66666666666
119,2011-12-01,132576.33333333334
120,2012-01-01,132619.0
121,2012-02-01,132662.0
122,2012-03-01,132705.0
123,2012-04-01,132748.0
124,2012-05-01,132795.33333333334
125,2012-06-01,132842.66666666666
126,2012-07-01,132890.0
127,2012-08-01,132947.33333333334
128,2012-09-01,133004.66666666666
129,2012-10-01,133062.0
130,2012-11-01,133119.33333333334
131,2012-12-01,133176.66666666666
132,2013-01-01,133234.0
133,2013-02-01,133292.0
134,2013-03-01,133350.0
135,2013-04-01,133408.0
136,2013-05-01,133469.66666666666
137,2013-06-01,133531.33333333334
138,2013-07-01,133593.0
139,2013-08-01,133661.66666666666
140,2013-09-01,133730.33333333334
141,2013-10-01,133799.0
142,2013-11-01,133867.66666666666
143,2013-12-01,133936.33333333334
144,2014-01-01,134005.0
145,2014-02-01,134074.0
146,2014-03-01,134143.0
147,2014-04-01,134212.0
148,2014-05-01,134282.33333333334
149,2014-06-01,134352.66666666666
150,2014-07-01,134423.0
151,2014-08-01,134496.0
152,2014-09-01,134569.0
153,2014-10-01,134642.0
154,2014-11-01,134715.33333333334
155,2014-12-01,134788.66666666666
156,2015-01-01,134862.0
157,2015-02-01,134935.0
158,2015-03-01,135008.0
159,2015-04-01,135081.0
160,2015-05-01,135157.0
161,2015-06-01,135233.0
162,2015-07-01,135309.0
163,2015-08-01,135390.0
164,2015-09-01,135471.0
165,2015-10-01,135552.0
166,2015-11-01,135633.0
167,2015-12-01,135714.0
168,2016-01-01,135795.0
169,2016-02-01,135876.33333333334
170,2016-03-01,135957.66666666666
171,2016-04-01,136039.0
172,2016-05-01,136122.33333333334
173,2016-06-01,136205.66666666666
174,2016-07-01,136289.0
175,2016-08-01,136377.33333333334
176,2016-09-01,136465.66666666666
177,2016-10-01,136554.0
178,2016-11-01,136642.0
179,2016-12-01,136730.0
180,2017-01-01,136818.0
181,2017-02-01,136906.33333333334
182,2017-03-01,136994.66666666666
183,2017-04-01,137083.0
184,2017-05-01,137173.33333333334
185,2017-06-01,137263.66666666666
186,2017-07-01,137354.0
187,2017-08-01,137448.33333333334
188,2017-09-01,137542.66666666666
189,2017-10-01,137637.0
190,2017-11-01,137731.33333333334
191,2017-12-01,137825.66666666666
192,2018-01-01,137920.0
193,2018-02-01,138014.33333333334
194,2018-03-01,138108.66666666666
195,2018-04-01,138203.0
196,2018-05-01,138298.0
197,2018-06-01,138393.0
198,2018-07-01,138488.0
199,2018-08-01,138584.66666666666
200,2018-09-01,138681.33333333334
201,2018-10-01,138778.0
202,2018-11-01,138875.0
203,2018-12-01,138972.0
204,2019-01-01,139069.0
205,2019-02-01,139166.0
206,2019-03-01,139263.0
207,2019-04-01,139360.0
208,2019-05-01,139458.33333333334
209,2019-06-01,139556.66666666666
210,2019-07-01,139655.0
211,2019-08-01,139757.0
212,2019-09-01,139859.0
213,2019-10-01,139961.0
214,2019-11-01,140062.66666666666
215,2019-12-01,140164.33333333334
216,2020-01-01,140266.0
217,2020-02-01,140377.33333333334
218,2020-03-01,140488.66666666666
219,2020-04-01,140600.0
220,2020-05-01,140704.66666666666
221,2020-06-01,140809.33333333334
222,2020-07-01,140914.0
223,2020-08-01,141026.33333333334
224,2020-09-01,141138.66666666666
225,2020-10-01,141251.0
226,2020-11-01,141363.66666666666
227,2020-12-01,141476.33333333334
228,2021-01-01,141589.0
229,2021-02-01,141701.66666666666
230,2021-03-01,141814.33333333334
231,2021-04-01,141927.0
232,2021-05-01,142047.33333333334
233,2021-06-01,142167.66666666666
234,2021-07-01,142288.0
235,2021-08-01,142424.33333333334
236,2021-09-01,142560.66666666666
237,2021-10-01,142697.0
238,2021-11-01,142833.0
239,2021-12-01,142969.0
240,2022-01-01,143105.0
241,2022-02-01,143241.33333333334
242,2022-03-01,143377.66666666666
243,2022-04-01,143514.0
244,2022-05-01,143650.33333333334
245,2022-06-01,143786.66666666666
246,2022-07-01,143923.0
247,2022-08-01,144059.33333333334
248,2022-09-01,144195.66666666666
249,2022-10-01,144332.0
250,2022-11-01,144332.0
251,2022-12-01,144332.0
