,DATE,LFWA64TTUSA647N
24,2002-01-01,183761750.0
25,2002-02-01,183761750.0
26,2002-03-01,183761750.0
27,2002-04-01,183761750.0
28,2002-05-01,183761750.0
29,2002-06-01,183761750.0
30,2002-07-01,183761750.0
31,2002-08-01,183761750.0
32,2002-09-01,183761750.0
33,2002-10-01,183761750.0
34,2002-11-01,183761750.0
35,2002-12-01,183761750.0
36,2003-01-01,186914416.666667
37,2003-02-01,186914416.666667
38,2003-03-01,186914416.666667
39,2003-04-01,186914416.666667
40,2003-05-01,186914416.666667
41,2003-06-01,186914416.666667
42,2003-07-01,186914416.666667
43,2003-08-01,186914416.666667
44,2003-09-01,186914416.666667
45,2003-10-01,186914416.666667
46,2003-11-01,186914416.666667
47,2003-12-01,186914416.666667
48,2004-01-01,188748083.333333
49,2004-02-01,188748083.333333
50,2004-03-01,188748083.333333
51,2004-04-01,188748083.333333
52,2004-05-01,188748083.333333
53,2004-06-01,188748083.333333
54,2004-07-01,188748083.333333
55,2004-08-01,188748083.333333
56,2004-09-01,188748083.333333
57,2004-10-01,188748083.333333
58,2004-11-01,188748083.333333
59,2004-12-01,188748083.333333
60,2005-01-01,191014166.666667
61,2005-02-01,191014166.666667
62,2005-03-01,191014166.666667
63,2005-04-01,191014166.666667
64,2005-05-01,191014166.666667
65,2005-06-01,191014166.666667
66,2005-07-01,191014166.666667
67,2005-08-01,191014166.666667
68,2005-09-01,191014166.666667
69,2005-10-01,191014166.666667
70,2005-11-01,191014166.666667
71,2005-12-01,191014166.666667
72,2006-01-01,193201416.666667
73,2006-02-01,193201416.666667
74,2006-03-01,193201416.666667
75,2006-04-01,193201416.666667
76,2006-05-01,193201416.666667
77,2006-06-01,193201416.666667
78,2006-07-01,193201416.666667
79,2006-08-01,193201416.666667
80,2006-09-01,193201416.666667
81,2006-10-01,193201416.666667
82,2006-11-01,193201416.666667
83,2006-12-01,193201416.666667
84,2007-01-01,195639000.0
85,2007-02-01,195639000.0
86,2007-03-01,195639000.0
87,2007-04-01,195639000.0
88,2007-05-01,195639000.0
89,2007-06-01,195639000.0
90,2007-07-01,195639000.0
91,2007-08-01,195639000.0
92,2007-09-01,195639000.0
93,2007-10-01,195639000.0
94,2007-11-01,195639000.0
95,2007-12-01,195639000.0
96,2008-01-01,196626583.333333
97,2008-02-01,196626583.333333
98,2008-03-01,196626583.333333
99,2008-04-01,196626583.333333
100,2008-05-01,196626583.333333
101,2008-06-01,196626583.333333
102,2008-07-01,196626583.333333
103,2008-08-01,196626583.333333
104,2008-09-01,196626583.333333
105,2008-10-01,196626583.333333
106,2008-11-01,196626583.333333
107,2008-12-01,196626583.333333
108,2009-01-01,197803250.0
109,2009-02-01,197803250.0
110,2009-03-01,197803250.0
111,2009-04-01,197803250.0
112,2009-05-01,197803250.0
113,2009-06-01,197803250.0
114,2009-07-01,197803250.0
115,2009-08-01,197803250.0
116,2009-09-01,197803250.0
117,2009-10-01,197803250.0
118,2009-11-01,197803250.0
119,2009-12-01,197803250.0
120,2010-01-01,199123250.0
121,2010-02-01,199123250.0
122,2010-03-01,199123250.0
123,2010-04-01,199123250.0
124,2010-05-01,199123250.0
125,2010-06-01,199123250.0
126,2010-07-01,199123250.0
127,2010-08-01,199123250.0
128,2010-09-01,199123250.0
129,2010-10-01,199123250.0
130,2010-11-01,199123250.0
131,2010-12-01,199123250.0
132,2011-01-01,199888916.666667
133,2011-02-01,199888916.666667
134,2011-03-01,199888916.666667
135,2011-04-01,199888916.666667
136,2011-05-01,199888916.666667
137,2011-06-01,199888916.666667
138,2011-07-01,199888916.666667
139,2011-08-01,199888916.666667
140,2011-09-01,199888916.666667
141,2011-10-01,199888916.666667
142,2011-11-01,199888916.666667
143,2011-12-01,199888916.666667
144,2012-01-01,201415250.0
145,2012-02-01,201415250.0
146,2012-03-01,201415250.0
147,2012-04-01,201415250.0
148,2012-05-01,201415250.0
149,2012-06-01,201415250.0
150,2012-07-01,201415250.0
151,2012-08-01,201415250.0
152,2012-09-01,201415250.0
153,2012-10-01,201415250.0
154,2012-11-01,201415250.0
155,2012-12-01,201415250.0
156,2013-01-01,202267583.333333
157,2013-02-01,202267583.333333
158,2013-03-01,202267583.333333
159,2013-04-01,202267583.333333
160,2013-05-01,202267583.333333
161,2013-06-01,202267583.333333
162,2013-07-01,202267583.333333
163,2013-08-01,202267583.333333
164,2013-09-01,202267583.333333
165,2013-10-01,202267583.333333
166,2013-11-01,202267583.333333
167,2013-12-01,202267583.333333
168,2014-01-01,202987250.0
169,2014-02-01,202987250.0
170,2014-03-01,202987250.0
171,2014-04-01,202987250.0
172,2014-05-01,202987250.0
173,2014-06-01,202987250.0
174,2014-07-01,202987250.0
175,2014-08-01,202987250.0
176,2014-09-01,202987250.0
177,2014-10-01,202987250.0
178,2014-11-01,202987250.0
179,2014-12-01,202987250.0
180,2015-01-01,204291750.0
181,2015-02-01,204291750.0
182,2015-03-01,204291750.0
183,2015-04-01,204291750.0
184,2015-05-01,204291750.0
185,2015-06-01,204291750.0
186,2015-07-01,204291750.0
187,2015-08-01,204291750.0
188,2015-09-01,204291750.0
189,2015-10-01,204291750.0
190,2015-11-01,204291750.0
191,2015-12-01,204291750.0
192,2016-01-01,205502750.0
193,2016-02-01,205502750.0
194,2016-03-01,205502750.0
195,2016-04-01,205502750.0
196,2016-05-01,205502750.0
197,2016-06-01,205502750.0
198,2016-07-01,205502750.0
199,2016-08-01,205502750.0
200,2016-09-01,205502750.0
201,2016-10-01,205502750.0
202,2016-11-01,205502750.0
203,2016-12-01,205502750.0
204,2017-01-01,205537500.0
205,2017-02-01,205537500.0
206,2017-03-01,205537500.0
207,2017-04-01,205537500.0
208,2017-05-01,205537500.0
209,2017-06-01,205537500.0
210,2017-07-01,205537500.0
211,2017-08-01,205537500.0
212,2017-09-01,205537500.0
213,2017-10-01,205537500.0
214,2017-11-01,205537500.0
215,2017-12-01,205537500.0
216,2018-01-01,206507750.0
217,2018-02-01,206507750.0
218,2018-03-01,206507750.0
219,2018-04-01,206507750.0
220,2018-05-01,206507750.0
221,2018-06-01,206507750.0
222,2018-07-01,206507750.0
223,2018-08-01,206507750.0
224,2018-09-01,206507750.0
225,2018-10-01,206507750.0
226,2018-11-01,206507750.0
227,2018-12-01,206507750.0
228,2019-01-01,206269916.666667
229,2019-02-01,206269916.666667
230,2019-03-01,206269916.666667
231,2019-04-01,206269916.666667
232,2019-05-01,206269916.666667
233,2019-06-01,206269916.666667
234,2019-07-01,206269916.666667
235,2019-08-01,206269916.666667
236,2019-09-01,206269916.666667
237,2019-10-01,206269916.666667
238,2019-11-01,206269916.666667
239,2019-12-01,206269916.666667
240,2020-01-01,205721083.333333
241,2020-02-01,205721083.333333
242,2020-03-01,205721083.333333
243,2020-04-01,205721083.333333
244,2020-05-01,205721083.333333
245,2020-06-01,205721083.333333
246,2020-07-01,205721083.333333
247,2020-08-01,205721083.333333
248,2020-09-01,205721083.333333
249,2020-10-01,205721083.333333
250,2020-11-01,205721083.333333
251,2020-12-01,205721083.333333
252,2021-01-01,205254833.333333
253,2021-02-01,205254833.333333
254,2021-03-01,205254833.333333
255,2021-04-01,205254833.333333
256,2021-05-01,205254833.333333
257,2021-06-01,205254833.333333
258,2021-07-01,205254833.333333
259,2021-08-01,205254833.333333
260,2021-09-01,205254833.333333
261,2021-10-01,205254833.333333
262,2021-11-01,205254833.333333
263,2021-12-01,205254833.333333
264,2022-01-01,207263666.666667
